0
서울특별시 종로구 삼일대로 382 상해
서울특별시 종로구 창신길 78 짱구
서울특별시 종로구 종로 385 교촌치킨 숭인점
서울특별시 종로구 새문안로5길 37 수제비집
서울특별시 종로구 세종대로23길 54 아람
서울특별시 종로구 성균관로16길 28 따또이스낵
서울특별시 종로구 자하문로1길 35 서촌 기와집
서울특별시 종로구 종로18길 27 관수동식당
서울특별시 종로구 성균관로3길 15 맥주도시
서울특별시 종로구 종로12길 15 왕방울분식
서울특별시 종로구 사직로12길 1 슬로우 핸드(slowhand)
서울특별시 종로구 사직로8길 42 OB광장
서울특별시 종로구 송월길 47-8 목란
서울특별시 종로구 종로31길 19 소문난분식
서울특별시 종로구 창경궁로 136 (주)제주미항 종로지점
서울특별시 종로구 성균관로 24 3 + 1
서울특별시 종로구 새문안로3길 30 느와르
서울특별시 종로구 새문안로5가길 28 광화문추어탕
서울특별시 종로구 사직로9가길 6 목포세발낙지
서울특별시 종로구 종로32길 5 칼국수
서울특별시 종로구 김상옥로 3 야래향2
서울특별시 종로구 새문안로3길 17 서울김밥
서울특별시 종로구 돈화문로11나길 3 호남선
서울특별시 종로구 대학로8가길 64 돌아온김삿갓
서울특별시 종로구 성균관로3길 20-3 우드스탁
서울특별시 종로구 서순라길 41 산호
서울특별시 종로구 삼일대로30길 42 잔치마당
서울특별시 종로구 돈화문로4길 5 할매국수
서울특별시 종로구 종로30길 20 세운분식
서울특별시 종로구 창경궁로18길 14 전주분식
서울특별시 종로구 새문안로5길 19 빵튀
서울특별시 종로구 종로 140 보리수
서울특별시 종로구 대학로11길 26 수유리 우동집
서울특별시 종로구 인사동3길 39 왕창골뱅이
서울특별시 종로구 자하문로15길 16 미르네
서울특별시 종로구 새문안로5길 37 달달한 오븐(dall'O)
서울특별시 종로구 자하문로7길 52 쉬는 시간
서울특별시 종로구 동숭길 62 텐빌리언
서울특별시 종로구 자하문로7길 66 멕시칸통인점
서울특별시 종로구 평창8길 15-10 감나무집
서울특별시 종로구 사직로 130 또순이네
서울특별시 종로구 필운대로 49-8 나비젤리
서울특별시 종로구 세종대로 163 서울본가
서울특별시 종로구 창경궁로26길 39 창화당
서울특별시 종로구 종로16길 34 오고또포차
서울특별시 종로구 돈화문로 38-1 동아리분식
서울특별시 종로구 창경궁로 235-1 편안한공간(Comfort Zone)
서울특별시 종로구 대학로12길 64 크레이지 페페
서울특별시 종로구 효자로 7 침니카페(chimney cafe)
서울특별시 종로구 종로51나길 4 운곡정
서울특별시 종로구 명륜길 46 은행분식
서울특별시 종로구 삼일대로 390-10 바로이맛
서울특별시 종로구 창경궁로 112-23 펀치 쥬스
서울특별시 종로구 종로 290 동대문 부대찌개＆전
서울특별시 종로구 종로9길 18 쿠캔 비어
서울특별시 종로구 종로 144-3 영광식품
서울특별시 종로구 창덕궁1길 32-1 밀과보리
서울특별시 종로구 율곡로10길 103 종로밥상
서울특별시 종로구 창경궁로31길 18 보리비빔밥
서울특별시 종로구 돈화문로9가길 10-2 재성이네 종로집
서울특별시 종로구 종로 267 한라참치동대문점
서울특별시 종로구 필운대로 44 서촌 일일
서울특별시 종로구 율곡로3길 66-5 북촌 평양 냉면
서울특별시 종로구 새문안로5가길 3-10 세종치킨
서울특별시 종로구 대학로14길 12 (주)고오베겐페이
서울특별시 종로구 돈화문로6가길 25 식사시간
서울특별시 종로구 대학로14길 12 두잇아카펠라
서울특별시 종로구 필운대로 59 비비큐치킨
서울특별시 종로구 종로51길 16 삼룡이네
서울특별시 종로구 삼일대로15길 26 와인슈타인
서울특별시 종로구 종로5길 46 한잔의추억
서울특별시 종로구 창신2길 3 영순이네 오돌뼈
서울특별시 종로구 숭인동길 1-3 풍한분식
서울특별시 종로구 김상옥로 3 야래향
서울특별시 종로구 인사동3길 39 되는집
서울특별시 종로구 율곡로 206 크앙분식 혜화본점
서울특별시 종로구 인사동길 49 로라방앗간 안녕인사동점
서울특별시 종로구 인사동길 49 크레이지 후라이 안녕인사동점
서울특별시 종로구 명륜4나길 4-1 정분식
서울특별시 종로구 대학로 136 대학로 칼국수
서울특별시 종로구 대학로 138-1 대학로 분식
서울특별시 종로구 동숭길 25 골드리퀴
서울특별시 종로구 종로 166-2 시실리(時失里)
서울특별시 종로구 돈화문로9길 40 유성식당
서울특별시 종로구 종로11길 29 이원
서울특별시 종로구 이화장길 84 커피내리는 분식
서울특별시 종로구 대명길 41 바다잔치
서울특별시 종로구 동숭길 51 삼삼뚝배기
서울특별시 종로구 종로44길 93 20세기떡볶이충전소
서울특별시 종로구 새문안로5가길 5 매일분식
서울특별시 종로구 명륜길 37 저팔계 식당
서울특별시 종로구 필운대로1길 28 김밥 이야기
서울특별시 종로구 창덕궁1길 36 북촌 쭈꾸미
서울특별시 종로구 북촌로 62-1 동일마트분식
서울특별시 종로구 통일로 154 비어헌팅
서울특별시 종로구 종로 183 김밥친구국수
서울특별시 종로구 삼일대로32길 46 앨리스 김밥
서울특별시 종로구 종로 353-1 수유리우동 동묘점
서울특별시 종로구 종로 125 커피온리 종로3가2호점
서울특별시 종로구 경희궁길 15 한살림서울소비자생활협동조합 요리공간
서울특별시 종로구 성균관로 15-8 더도어스투
서울특별시 종로구 창경궁로 109 가야스넥코너
서울특별시 종로구 종로 26 나나김밥
서울특별시 종로구 대학로 144 신토불이
서울특별시 종로구 대학로 52 청호타운
서울특별시 종로구 인사동길 49 101번지 남산돈까스 안녕인사동점
서울특별시 종로구 종로1길 50 리김밥 케이트윈타워점
서울특별시 종로구 대학로8가길 66 서쉐프키친 대학로점
서울특별시 종로구 명륜길 40-1 이명근 떡볶이
서울특별시 종로구 김상옥로 5 언더라인
서울특별시 종로구 종로51가길 2-1 에베레스트
서울특별시 종로구 종로44길 69 미리내분식
서울특별시 종로구 창신길 18 와글와글
서울특별시 종로구 청계천로 235-1 청계분식
서울특별시 종로구 창경궁로26길 33 로젤
서울특별시 종로구 대학로 95 건강한 떡볶이 갓
서울특별시 종로구 자하문로 15 죠스 떡볶이 경복궁점
서울특별시 종로구 종로41길 8 흥부골 숯불 돼지갈비
서울특별시 종로구 삼청로 124-6 북막골
서울특별시 종로구 자하문로1길 35 김덕후의 곱창조
서울특별시 종로구 새문안로5길 10-1 소우
서울특별시 종로구 자하문로1길 39 라면점빵
서울특별시 종로구 종로40가길 3 남이분식
서울특별시 종로구 사직로8길 34 위치스테이블(Witch's table)
서울특별시 종로구 창경궁로29길 36 태월식당
서울특별시 종로구 창경궁로 148 크루즈
서울특별시 종로구 자하문로 83 이삭 토스트
서울특별시 종로구 율곡로 290-2 초이라멘
서울특별시 종로구 대학로 16 종로
서울특별시 종로구 수표로 121 토담토담
서울특별시 종로구 이화장길 100 데미타스
